PSIZ,DLRT,REPL,SQLN,NGEN,MTHD,SERF
10000000,1E-10,2,25,100,astral-multi-w-true,0.103093
10000000,1E-10,2,25,100,apro,0.092784
10000000,1E-10,2,25,100,apro-w-true,0.092784
10000000,1E-10,2,25,100,apro-v2,0.092784
10000000,1E-10,2,25,100,duptree,0.505155
10000000,1E-10,2,25,100,mulrf,0.103093
10000000,1E-10,2,25,100,stag,0.536082
10000000,1E-10,2,25,500,astral-multi,0.123711
10000000,1E-10,2,25,500,astral-multi-w-true,0.092784
10000000,1E-10,2,25,500,apro,0.051546
10000000,1E-10,2,25,500,apro-w-true,0.051546
10000000,1E-10,2,25,500,apro-v2,0.051546
10000000,1E-10,2,25,500,duptree,0.195876
10000000,1E-10,2,25,500,mulrf,0.041237
10000000,1E-10,2,25,500,stag,0.391753
10000000,1E-10,2,50,25,astral-multi,0.164948
10000000,1E-10,2,50,25,astral-multi-w-true,0.082474
10000000,1E-10,2,50,25,apro,0.113402
10000000,1E-10,2,50,25,apro-w-true,0.113402
10000000,1E-10,2,50,25,apro-v2,0.113402
10000000,1E-10,2,50,25,duptree,0.371134
10000000,1E-10,2,50,25,mulrf,0.072165
10000000,1E-10,2,50,25,stag,NA
10000000,1E-10,2,50,50,astral-multi,0.134021
10000000,1E-10,2,50,50,astral-multi-w-true,0.092784
10000000,1E-10,2,50,50,apro,0.082474
10000000,1E-10,2,50,50,apro-w-true,0.082474
10000000,1E-10,2,50,50,apro-v2,0.082474
10000000,1E-10,2,50,50,duptree,0.28866
10000000,1E-10,2,50,50,mulrf,0.041237
10000000,1E-10,2,50,50,stag,NA
10000000,1E-10,2,50,100,astral-multi,0.051546
10000000,1E-10,2,50,100,astral-multi-w-true,0.030928
10000000,1E-10,2,50,100,apro,0.030928
10000000,1E-10,2,50,100,apro-w-true,0.030928
10000000,1E-10,2,50,100,apro-v2,0.030928
10000000,1E-10,2,50,100,duptree,0.226804
10000000,1E-10,2,50,100,mulrf,0.030928
10000000,1E-10,2,50,100,stag,0.340206
10000000,1E-10,2,50,500,astral-multi,0
10000000,1E-10,2,50,500,astral-multi-w-true,0
10000000,1E-10,2,50,500,apro,0.010309
10000000,1E-10,2,50,500,apro-w-true,0.010309
10000000,1E-10,2,50,500,apro-v2,0.010309
10000000,1E-10,2,50,500,duptree,0.14433
10000000,1E-10,2,50,500,mulrf,0.030928
10000000,1E-10,2,50,500,stag,0.28866
10000000,1E-10,2,100,25,astral-multi,0.072165
10000000,1E-10,2,100,25,astral-multi-w-true,0.051546
10000000,1E-10,2,100,25,apro,0.061856
10000000,1E-10,2,100,25,apro-w-true,0.061856
10000000,1E-10,2,100,25,apro-v2,0.061856
10000000,1E-10,2,100,25,duptree,0.216495
10000000,1E-10,2,100,25,mulrf,0.072165
10000000,1E-10,2,100,25,stag,NA
10000000,1E-10,2,100,50,astral-multi,0.041237
10000000,1E-10,2,100,50,astral-multi-w-true,0.041237
10000000,1E-10,2,100,50,apro,0.051546
10000000,1E-10,2,100,50,apro-w-true,0.051546
10000000,1E-10,2,100,50,apro-v2,0.051546
10000000,1E-10,2,100,50,duptree,0.041237
10000000,1E-10,2,100,50,mulrf,0.041237
10000000,1E-10,2,100,50,stag,NA
10000000,1E-10,2,100,100,astral-multi,0.051546
10000000,1E-10,2,100,100,astral-multi-w-true,0.041237
10000000,1E-10,2,100,100,apro,0.041237
10000000,1E-10,2,100,100,apro-w-true,0.041237
10000000,1E-10,2,100,100,apro-v2,0.041237
10000000,1E-10,2,100,100,duptree,0.030928
10000000,1E-10,2,100,100,mulrf,0.041237
10000000,1E-10,2,100,100,stag,0.247423
10000000,1E-10,2,100,500,astral-multi,0.020619
10000000,1E-10,2,100,500,astral-multi-w-true,0.020619
10000000,1E-10,2,100,500,apro,0.010309
10000000,1E-10,2,100,500,apro-w-true,0.010309
10000000,1E-10,2,100,500,apro-v2,0.010309
10000000,1E-10,2,100,500,duptree,0.030928
10000000,1E-10,2,100,500,mulrf,0.010309
10000000,1E-10,2,100,500,stag,0.14433
10000000,1E-10,2,250,25,astral-multi,0.020619
10000000,1E-10,2,250,25,astral-multi-w-true,0.010309
10000000,1E-10,2,250,25,apro,0.020619
10000000,1E-10,2,250,25,apro-w-true,0.020619
10000000,1E-10,2,250,25,apro-v2,0.020619
10000000,1E-10,2,250,25,duptree,0.030928
10000000,1E-10,2,250,25,mulrf,0.051546
10000000,1E-10,2,250,25,stag,NA
10000000,1E-10,2,250,50,astral-multi,0.030928
10000000,1E-10,2,250,50,astral-multi-w-true,0.020619
10000000,1E-10,2,250,50,apro,0.020619
10000000,1E-10,2,250,50,apro-w-true,0.020619
10000000,1E-10,2,250,50,apro-v2,0.020619
10000000,1E-10,2,250,50,duptree,0.030928
10000000,1E-10,2,250,50,mulrf,0.020619
10000000,1E-10,2,250,50,stag,NA
10000000,1E-10,2,250,100,astral-multi,0.010309
10000000,1E-10,2,250,100,astral-multi-w-true,0.010309
10000000,1E-10,2,250,100,apro,0.020619
10000000,1E-10,2,250,100,apro-w-true,0.020619
10000000,1E-10,2,250,100,apro-v2,0.020619
10000000,1E-10,2,250,100,duptree,0.030928
10000000,1E-10,2,250,100,mulrf,0.010309
10000000,1E-10,2,250,100,stag,0.103093
10000000,1E-10,2,250,500,astral-multi,0.020619
10000000,1E-10,2,250,500,astral-multi-w-true,0.020619
10000000,1E-10,2,250,500,apro,0.010309
10000000,1E-10,2,250,500,apro-w-true,0.010309
10000000,1E-10,2,250,500,apro-v2,0.010309
10000000,1E-10,2,250,500,duptree,0.010309
10000000,1E-10,2,250,500,mulrf,0.010309
10000000,1E-10,2,250,500,stag,0.082474
10000000,1E-10,3,0,25,astral-multi,0
10000000,1E-10,3,0,25,astral-multi-w-true,0
10000000,1E-10,3,0,25,apro,0
10000000,1E-10,3,0,25,apro-w-true,0
10000000,1E-10,3,0,25,apro-v2,0
10000000,1E-10,3,0,25,duptree,0
10000000,1E-10,3,0,25,mulrf,0
10000000,1E-10,3,0,25,stag,NA
10000000,1E-10,3,0,50,astral-multi,0
10000000,1E-10,3,0,50,astral-multi-w-true,0
10000000,1E-10,3,0,50,apro,0
10000000,1E-10,3,0,50,apro-w-true,0
10000000,1E-10,3,0,50,apro-v2,0
10000000,1E-10,3,0,50,duptree,0
10000000,1E-10,3,0,50,mulrf,0
10000000,1E-10,3,0,50,stag,0.010309
10000000,1E-10,3,0,100,astral-multi,0
10000000,1E-10,3,0,100,astral-multi-w-true,0
10000000,1E-10,3,0,100,apro,0
10000000,1E-10,3,0,100,apro-w-true,0
10000000,1E-10,3,0,100,apro-v2,0
10000000,1E-10,3,0,100,duptree,0
10000000,1E-10,3,0,100,mulrf,0
10000000,1E-10,3,0,100,stag,0.020619
10000000,1E-10,3,0,500,astral-multi,0
10000000,1E-10,3,0,500,astral-multi-w-true,0
10000000,1E-10,3,0,500,apro,0
10000000,1E-10,3,0,500,apro-w-true,0
10000000,1E-10,3,0,500,apro-v2,0
10000000,1E-10,3,0,500,duptree,0
10000000,1E-10,3,0,500,mulrf,0
10000000,1E-10,3,0,500,stag,0
10000000,1E-10,3,25,25,astral-multi,0.319588
10000000,1E-10,3,25,25,astral-multi-w-true,0.278351
10000000,1E-10,3,25,25,apro,0.195876
10000000,1E-10,3,25,25,apro-w-true,0.195876
10000000,1E-10,3,25,25,apro-v2,0.195876
10000000,1E-10,3,25,25,duptree,0.587629
10000000,1E-10,3,25,25,mulrf,0.278351
10000000,1E-10,3,25,25,stag,NA
10000000,1E-10,3,25,50,astral-multi,0.134021
10000000,1E-10,3,25,50,astral-multi-w-true,0.113402
10000000,1E-10,3,25,50,apro,0.123711
10000000,1E-10,3,25,50,apro-w-true,0.123711
10000000,1E-10,3,25,50,apro-v2,0.123711
10000000,1E-10,3,25,50,duptree,0.443299
10000000,1E-10,3,25,50,mulrf,0.123711
10000000,1E-10,3,25,50,stag,0.628866
10000000,1E-10,3,25,100,astral-multi,0.154639
10000000,1E-10,3,25,100,astral-multi-w-true,0.123711
10000000,1E-10,3,25,100,apro,0.082474
10000000,1E-10,3,25,100,apro-w-true,0.082474
10000000,1E-10,3,25,100,apro-v2,0.082474
10000000,1E-10,3,25,100,duptree,0.412371
10000000,1E-10,3,25,100,mulrf,0.072165
10000000,1E-10,3,25,100,stag,0.587629
10000000,1E-10,3,25,500,astral-multi,0.041237
10000000,1E-10,3,25,500,astral-multi-w-true,0.030928
10000000,1E-10,3,25,500,apro,0.020619
10000000,1E-10,3,25,500,apro-w-true,0.020619
10000000,1E-10,3,25,500,apro-v2,0.020619
10000000,1E-10,3,25,500,duptree,0.175258
10000000,1E-10,3,25,500,mulrf,0.051546
10000000,1E-10,3,25,500,stag,0.268041
10000000,1E-10,3,50,25,astral-multi,0.134021
10000000,1E-10,3,50,25,astral-multi-w-true,0.134021
10000000,1E-10,3,50,25,apro,0.113402
10000000,1E-10,3,50,25,apro-w-true,0.113402
10000000,1E-10,3,50,25,apro-v2,0.113402
10000000,1E-10,3,50,25,duptree,0.453608
10000000,1E-10,3,50,25,mulrf,0.123711
10000000,1E-10,3,50,25,stag,NA
